site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_co
5DA.1,,,,,,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
5BY.1,,,,,,group_2,,oats,vetch,wheat_group2,,maize,,forage_rye,,,,Extase; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
232,,,,,,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
231,,,,,,group_1,,oats,vetch,group_2,,maize,,OSR,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
5LY.1,,,,,,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy,,,,,,,,,,,,,
5LY.2,,,,,,group_1,,combining_peas,,group_2,,maize_forage,,malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy,,,,,,,,,,,,,
5RJ.1,,,,,,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
5RJ.2,,,,,,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Champion; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
226,,,,,,group_1,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
217,,,,,,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
2AY.1,,,,,,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
2AY.2,,,,,,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
223,,,,,,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; gravity; crusoe,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy,,,,,,,,,,,,,
216,,,,,,group_1,,oats,vetch,2nd_wheat,,vining_peas,,OSR,,,,Crusoe; skyscraper; ,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
8HQ.1,,,,,,group_2,,pre_pack,,group_2,,maize,,spring_wheat,,,,Extase; astronomer,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
8HQ.2,,,,,,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Astronomer,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
225,,,,,,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Cranium,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
222,,,,,,group_2,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Extase; Cranium,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Peaty,,,,,,,,,,,,,
5NQ.1,,,,,,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,Loamy and clayey,,,,,,,,,,,,,
247,,,,,,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,Loamy and clayey,,,,,,,,,,,,,
246,,,,,,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,No,Yes,No,No,Yes,,,,Yes,,,,Yes,,,Yes,Yes,No,,Loamy and clayey,,,,,,,,,,,,,
5RW.1,,,,,,spring_wheat,,spring_barley,,sugar_beet,,winter_wheat,,potato,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,No,,,,,,,Yes,Yes,Yes,Reduced tillage,Loamy,,,,,,,,,,,,,
5RW.2,,,,,,spring_wheat,,winter_barley,,winter_wheat,,sugar_beet,,winter_barley,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,No,Yes,Yes,No,Yes,No,,,,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,,,,,,,,,,,,,
109,,,,,,winter_wheat,,combining_peas,oats,winter_wheat,,winter_linseed,,winter_wheat,,,,Common wheat/bread wheat,Yes,"Premature death,Bleaching/discolouration,Lower tillering",Five years or more,Yes,Yes,No,No,No,No,No,No,,,3 sp. Applications totalling 190kgN/ha,Yes,,,,,Composted manure 1 in 4 yrs,,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
8JF.1,,,,,,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,,,,,,,,,,,,,
46,,,,,,winter_wheat,,spring_barley,,sugar_beet,,winter_wheat,,spring_barley,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,No,No,No,No,Yes,,,Yes,,,,,every 4 years,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,,,,,,,,,,,,,
4LQ.1,,,,,,winter_wheat,,winter_oats,,winter_wheat,,winter_wheat,,winter_beans,,,,Common wheat/bread wheat; Heritage wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,Yes,,,,,Every three years,Yes,,,No,,Loamy,,,,,,,,,,,,,
4LQ.2,,,,,,spring_wheat,,winter_oats,,winter_wheat,,winter_wheat,,winter_beans,,,,Common wheat/bread wheat; Heritage wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,Yes,,,,,Every three years,Yes,,,No,,Loamy,,,,,,,,,,,,,
140,,,,,,winter_wheat,,fallow_MLS,,kale,,spring_barley,,spring_oats,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,No,No,No,Yes,,,As needed,Yes,,Yes,,,,,Yes,Yes,Yes,"Ploughed, Primary Tilling",Loamy,,,,,,,,,,,,,
127,,,,,,winter_wheat,,winter_wheat,,spring_barley,,oilseed_rape,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,,,,,,,,,,,,,
128,,,,,,winter_wheat,,spring_barley,,spring_barley,,spring_barley,,oilseed_rape,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,Loamy and clayey,,,,,,,,,,,,,
129,,,,,,spring_wheat,,winter_wheat,,oilseed_rape,,winter_barley,,winter_wheat,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",No,,,,,,,Yes,Yes,Yes,Reduced tillage,Peaty,,,,,,,,,,,,,
179,,,,,,spring_wheat,,wheat,,oilseed_rape,,,,,,,,Var Palladium ,No,N/A,,Yes,Yes,No,No,Yes,Magnesium;Manganese,,,,,240kg/Ha split in three,No,,,,,,,Yes,Yes,Yes,Direct drilling ,Loamy and clayey,,,,,,,,,,,,,
180,,,,,,spring_wheat,,wheat,,spring_barley,,,,,,,,Var Edgar,Yes,Lower Tillering ,One year,Yes,Yes,Yes,Yes,Yes,Polysulphate(Sulphur/ Potash/ Magnesium/ Calcium);Manganese;Magnesium,Yes,,Yes,,,No,,,,,,,,Yes,Yes,Ploughed,"Clayey, some loamy",,,,,,,,,,,,,
34,,,,,,spring_wheat,,oats,,sugar_beet,,wheat,,,,,,Common wheat/bread wheat,No,N/A,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,Yes,Ploughed,Loamy,,,,,,,,,,,,,
4EH.1,,,,,,winter_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,,X days,No,N/A,,Yes,Yes,,,,Sulfur,,,,Yes,220Kile N/hectare; 20 kilo S/hectare,,,,,Yes,30 tons/hectare,,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
4EH.2,,,,,,winter_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_oats,,,,X days,No,N/A,,Yes,Yes,,,,Sulfur,,,,,,,,,,,,,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
153,,,,,,winter_wheat,,wheat,OSR,spring_barley,,winter_wheat,,winter_OSR,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,Loamy,,,,,,,,,,,,,
154,,,,,,winter_wheat,,wheat,OSR,spring_barley,,spring_barley,,winter_wheat,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,Loamy,,,,,,,,,,,,,
155,,,,,,spring_wheat,,grass_ley,,grass_ley,,grass_ley,,winter_wheat,,,,,No,N/A,,,,,,,,,,,,,,,,,,,,,,Yes,Crop established using strip till drill with no prior cultivations,Loamy,,,,,,,,,,,,,
6LF.1/6LP.1,,,,,,spring_wheat,,salad_onions,,winter_wheat,,pak_choi,,french_Beans,,,,Common wheat/bread wheat,Yes,Bleaching/discolouration,,Yes,Yes,,Yes,,Sulphur,,,Yes,,,Yes,,,,,When required,Yes,Yes,Yes,Yes,Reduced tillage,Loamy,,,,,,,,,,,,,
9JG.1,,,,,,winter_wheat,,spring_barley,,spring_barley,,winter_barley,,winter_wheat,,,,Common wheat/bread wheat,No,No evidence,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,No,,,,,,Yes,,Yes,No,Zero Tillage,Loamy,,,,,,,,,,,,,
9JG.2,,,,,,winter_wheat,,spring_wheat,,winter_barley,,winter_wheat,,winter_barley,,,,Common wheat/bread wheat,No,No evidence,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,No,,,,,,Yes,,Yes,No,Zero Tillage,Loamy,,,,,,,,,,,,,
2JJ.1,,,,,,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
2JJ.2,,,,,,spring_wheat,,wheat,,wheat,,OSR,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
211,,,,,,spring_wheat,,wheat,,OSR,,wheat,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
212,,,,,,group_2,,wheat,,OSR,,wheat,,wheat,,,,,None,N/A,,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy and clayey,,,,,,,,,,,,,
9HF.1,,,,,,feed_wheat,,seed_wheat,,OSR,,group_3 ,,Poppy,,,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
WB6,,,,,,feed_wheat,,feed_wheat,,OSR,,group_1,,Peas,,group 2 wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy and clayey,,,,,,,,,,,,,
GF20,,,,,,feed_wheat,,feed_wheat,,OSR,,group_1,,peas,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
DF33,,,,,,group_2,,feed_wheat,,OSR,,feed_wheat_2nd,,feed_wheat,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
MD7,,,,,,group_2,,maize,,feed_wheat,,OSR,,group_1_2nd,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
F17,,,,,,group_3,,potatoes,,feed_wheat,,OSR,,group_2,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
MD1,,,,,,feed_wheat,,maize,,feed_wheat,,OSR,,group_1_2nd,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
PF3,,,,,,group_3,,Oats & Vetch,,feed_wheat_2nd,,group_1,,peas,,spring_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
D4,,,,,,feed_wheat,,maize,,feed_wheat,,OSR,,group_1,,feed_wheat,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Loamy,,,,,,,,,,,,,
DF21,,,,,,feed_wheat,,feed_wheat,,OSR,,feed_wheat_2nd,,feed_wheat,,potatoes,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,Clayey loam,,,,,,,,,,,,,
GF1,,,,,,group_1,,malting_barley,,maize,,group_1,,potatoes,,group_1,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,"Clayey, some loamy",,,,,,,,,,,,,
F5,,,,,,spring_wheat,,Peas,,feed_wheat,,OSR,,feed_wheat,,maize,,,None,N/A,N/A,Yes,Yes,Yes,,Yes,,,,Yes,,Per crop requirements,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Primary tilling,"Clayey, some loamy",,,,,,,,,,,,,
2JJ.5,,,,,,spring_wheat,,wheat,,wheat,,wheat,,OSR,,wheat,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
2JJ.FK1 101,,,,,,spring_wheat,,wheat,,OSR,,wheat,,wheat,,OSR,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Loamy,,,,,,,,,,,,,
2JJ.FK2 99,,,,,,spring_wheat,,wheat,,wheat,,wheat,,OSR,,wheat,,,None,N/A,N/A,,Yes,,,Yes,,,,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,,Clayey loam,,,,,,,,,,,,,
8JF.2,,,,,,spring_wheat,,wheat,,OSR,,wheat,,wheat,,OSR,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,Clayey loam,,,,,,,,,,,,,
8JF.3,,,,,,spring_wheat,,wheat,,Peas,,wheat,,wheat,,OSR,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,Clayey loam,,,,,,,,,,,,,
8JF.4,,,,,,winter_wheat,,Peas,,wheat,,wheat,,OSR,,wheat,,,Yes,Black lesions,Five years or more,Yes,Yes,Yes,Yes,Mg,Sulphur,,,,,N 3x spring,Yes,,,,,Every 4 yrs,No,Yes,Yes,Yes,Reduced tillage,Clayey loam,,,,,,,,,,,,,
6DA.01,,,,,,winter_wheat,,OSR,,spring_barley,,wheat,,Spring linseed,,grass_ley,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,Loamy,,,,,,,,,,,,,
6DA.02,,,,,,winter_wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,lucerne,,lucerne,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,Loamy,,,,,,,,,,,,,
6DA.FK1 87,,,,,,winter_wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,spring_oats,,winter_wheat,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,Loamy,,,,,,,,,,,,,
6DA.03,,,,,,winter_wheat,,spring_oats,,winter_wheat,,OSR,,spring_barley,,winter_wheat,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,Loamy,,,,,,,,,,,,,
6DA.04,,,,,,winter_wheat,,herbal_ ley,,herbal_ley,,herbal_ley,,spring_barley,,grass_ley,,cv Soissons,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,Loamy,,,,,,,,,,,,,
6DA.FK2 86,,,,,,winter_wheat,,OSR,,spring_barley,,winter_wheat,,spring_oats,,grass_ley,,cv Crusoe,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Strip-till crop establishment,Clayey loam,,,,,,,,,,,,,
6DA.FK385,,,,,,winter_wheat,,grass_ley,,grass_ley,,grass_ley,,grass_ley,,grass_ley,,cv Nelson,None,N/A,N/A,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,No,Direct drilled,Loamy,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,